Rank,Equipo,Nombre,Goles,Dribbles Exitosos,Tackles,Asistencias,Precisión Pases %,Rating
349,Deportivo Morón,Ivo Alexis Costantino,0,3,,0,72.09,
350,Los Andes,Enzo Luna,0,2,,0,66.67,
351,Patronato,Santiago Gallucci,0,1,,0,82.02,
352,Tristán Suárez,Nicolás Pantaleone,0,0,,0,64.29,
353,Güemes,Fernando Gonzalez,0,0,,0,86.67,
354,Defensores Unidos,Juan Rocca,0,5,,0,70,
355,Deportivo Morón,Nahuel Zárate,0,0,,0,82.5,
356,Güemes,Mauro Albertengo,0,3,,0,63.16,
357,Defensores Unidos,Jorge Scolari,0,0,,0,83.33,
358,Güemes,Milton Gerez,0,10,,0,75,
359,Deportivo Maipú,Diego Ramírez,0,2,,0,93.62,
360,Talleres Remedios de Escalada,Mateo Muñoz,0,4,,0,66.67,
361,Los Andes,Román Riquelme,0,0,,0,81.9,
362,Estudiantes de Río Cuarto,Lucas González,0,1,,0,65.57,
363,Colegiales,Laureano Marra,0,1,,0,72,
364,Temperley,Luis Lopez,1,0,,0,67.35,
365,Agropecuario Argentino,Alejandro Gagliardi,1,2,,0,77.27,
366,Racing de Córdoba,Claudio Leonel Monti,1,2,,0,57.14,
367,Patronato,Luciano Pack,0,2,,1,0,
368,Defensores de Belgrano,Patricio Moyano,0,3,,1,68.63,
369,Alvarado,Ariel Eduardo Castellano,0,1,,1,62.07,
370,San Telmo,Nahuel Curcio,0,4,,1,91.3,
371,Los Andes,Agustin Bellone,0,0,,1,75.44,
372,Almirante Brown,Nazareno Bazán,0,0,,0,0,
373,San Martín de Tucumán,Juan Orellana,0,0,,0,63.33,
374,Alvarado,Kevin Silva,0,0,,0,0,
375,Nueva Chicago,Alejandro Almaraz,0,2,,0,97.3,
376,Club Ferro Carril Oeste,Patricio Boolsen,0,0,,0,0,
377,Los Andes,Tomas Sives,0,0,,0,75,
378,Central Norte de Salta,Tomas Berra,0,0,,0,37.5,
379,Almagro,Ariel Cháves,0,0,,0,90.91,
380,Almirante Brown,Marcos Abreliano,0,1,,0,58.97,
381,Club Ferro Carril Oeste,Juan Martín Fernández Pinto,0,0,,0,0,
382,Tristán Suárez,Enzo Arreguín,0,0,,0,0,
383,Mitre,Gianfranco Lillo,0,0,,0,0,
384,Colegiales,Iván Fernández,0,1,,0,0,
385,Central Norte de Salta,Facundo Romero,0,2,,0,0,
386,Club Atletico Colón,Facundo Sánchez,0,4,,0,64.15,
387,Gimnasia y Esgrima Mendoza,Nicolás Servetto,0,1,,0,69.57,
388,Deportivo Madryn,Pablo Minissale,0,0,,0,80.46,
389,San Miguel,Cristian Erbes,0,0,,0,73.13,
390,Temperley,Gabriel Esparza,0,2,,0,71.43,
391,Gimnasia y Esgrima Mendoza,Matías Muñoz,0,1,,0,69.23,
392,Defensores de Belgrano,Lautaro Cerato,0,1,,0,0,
393,All Boys,Juan Salas,0,2,,0,59.52,
394,Deportivo Madryn,Diego Martinez,0,0,,0,67.39,
395,Atlanta,Rodrigo Moreira,0,0,,0,70.73,
396,San Martín de Tucumán,Agustin Prokop,0,2,,0,78.26,
